îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2017,12,29,18,1801,BOLAVEN,2,7.4,138.0,1006,0,0,0,0,0,0,0,0
2017,12,30,0,1801,BOLAVEN,2,8.0,137.5,1006,0,0,0,0,0,0,0,0
2017,12,30,6,1801,BOLAVEN,2,8.6,136.9,1004,0,0,0,0,0,0,0,0
2017,12,30,12,1801,BOLAVEN,2,9.1,136.1,1006,0,0,0,0,0,0,0,0
2017,12,30,18,1801,BOLAVEN,2,9.4,135.2,1004,0,0,0,0,0,0,0,0
2017,12,31,0,1801,BOLAVEN,2,9.5,134.3,1006,0,0,0,0,0,0,0,0
2017,12,31,6,1801,BOLAVEN,2,9.5,133.3,1004,0,0,0,0,0,0,0,0
2017,12,31,12,1801,BOLAVEN,2,9.3,132.3,1004,0,0,0,0,0,0,0,0
2017,12,31,18,1801,BOLAVEN,2,9.0,131.0,1004,0,0,0,0,0,0,0,0
2018,1,1,0,1801,BOLAVEN,2,8.8,129.9,1004,0,0,0,0,0,0,0,0
2018,1,1,6,1801,BOLAVEN,2,8.7,128.4,1002,0,0,0,0,0,0,0,0
2018,1,1,12,1801,BOLAVEN,2,9.2,126.7,1004,0,0,0,0,0,0,0,0
2018,1,1,18,1801,BOLAVEN,2,9.2,124.5,1004,0,0,0,0,0,0,0,0
2018,1,2,0,1801,BOLAVEN,2,9.2,122.4,1004,0,0,0,0,0,0,0,0
2018,1,2,6,1801,BOLAVEN,2,9.1,120.8,1004,0,0,0,0,0,0,0,0
2018,1,2,12,1801,BOLAVEN,2,9.3,119.2,1004,0,0,0,0,0,0,0,0
2018,1,2,18,1801,BOLAVEN,2,10.0,117.3,1004,0,0,0,0,0,0,0,0
2018,1,3,0,1801,BOLAVEN,3,10.4,116.0,1002,35,0,0,0,9,30,30,0
2018,1,3,6,1801,BOLAVEN,3,11.2,114.8,1002,35,0,0,0,9,30,30,0
2018,1,3,12,1801,BOLAVEN,3,11.4,113.3,1002,35,0,0,0,9,30,30,0
2018,1,3,18,1801,BOLAVEN,3,11.8,112.2,1002,35,0,0,0,9,30,30,0
2018,1,4,0,1801,BOLAVEN,2,12.3,111.0,1006,0,0,0,0,0,0,0,0
2018,1,4,6,1801,BOLAVEN,2,12.3,110.0,1008,0,0,0,0,0,0,0,0
2018,2,8,0,1802,SANBA,2,8.1,150.8,1006,0,0,0,0,0,0,0,0
2018,2,8,6,1802,SANBA,2,9.1,150.1,1004,0,0,0,0,0,0,0,0
2018,2,8,12,1802,SANBA,2,10.8,149.8,1006,0,0,0,0,0,0,0,0
2018,2,8,18,1802,SANBA,2,11.0,148.6,1004,0,0,0,0,0,0,0,0
2018,2,9,0,1802,SANBA,2,10.4,147.4,1006,0,0,0,0,0,0,0,0
2018,2,9,6,1802,SANBA,2,10.1,146.9,1004,0,0,0,0,0,0,0,0
2018,2,9,12,1802,SANBA,2,9.4,146.0,1008,0,0,0,0,0,0,0,0
2018,2,9,18,1802,SANBA,2,9.1,145.0,1006,0,0,0,0,0,0,0,0
2018,2,10,0,1802,SANBA,2,8.5,143.3,1008,0,0,0,0,0,0,0,0
2018,2,10,6,1802,SANBA,2,7.8,142.3,1004,0,0,0,0,0,0,0,0
2018,2,10,12,1802,SANBA,2,6.9,140.8,1004,0,0,0,0,0,0,0,0
2018,2,10,18,1802,SANBA,2,6.8,139.0,1002,0,0,0,0,0,0,0,0
2018,2,11,0,1802,SANBA,2,6.7,137.4,1002,0,0,0,0,0,0,0,0
2018,2,11,6,1802,SANBA,3,6.8,135.8,1000,35,0,0,0,7,120,60,0
2018,2,11,12,1802,SANBA,3,7.0,134.4,1000,35,0,0,0,7,120,60,0
2018,2,11,18,1802,SANBA,3,7.0,133.1,1000,35,0,0,0,7,120,60,0
2018,2,12,0,1802,SANBA,3,7.1,131.9,1000,35,0,0,0,7,180,90,0
2018,2,12,6,1802,SANBA,3,7.2,130.7,1000,35,0,0,0,7,240,90,0
2018,2,12,12,1802,SANBA,3,7.7,129.3,1000,35,0,0,0,7,240,90,0
2018,2,12,18,1802,SANBA,3,8.4,128.0,1000,35,0,0,0,7,210,90,0
2018,2,13,0,1802,SANBA,3,9.4,126.4,1002,35,0,0,0,8,210,90,0
2018,2,13,6,1802,SANBA,2,9.6,124.6,1006,0,0,0,0,0,0,0,0
2018,2,13,12,1802,SANBA,2,9.1,123.9,1008,0,0,0,0,0,0,0,0
2018,2,13,18,1802,SANBA,2,8.6,122.0,1008,0,0,0,0,0,0,0,0
2018,2,14,0,1802,SANBA,2,7.2,120.5,1008,0,0,0,0,0,0,0,0
2018,2,14,6,1802,SANBA,2,6.5,119.9,1008,0,0,0,0,0,0,0,0
2018,2,14,12,1802,SANBA,2,6.7,120.0,1010,0,0,0,0,0,0,0,0
2018,2,14,18,1802,SANBA,2,7.2,120.0,1008,0,0,0,0,0,0,0,0
2018,2,15,0,1802,SANBA,2,8.1,119.4,1010,0,0,0,0,0,0,0,0
2018,2,15,6,1802,SANBA,2,8.7,119.2,1008,0,0,0,0,0,0,0,0
2018,2,15,12,1802,SANBA,2,8.9,118.5,1010,0,0,0,0,0,0,0,0
2018,2,15,18,1802,SANBA,2,9.4,117.7,1010,0,0,0,0,0,0,0,0
2018,2,16,0,1802,SANBA,2,10.0,116.1,1012,0,0,0,0,0,0,0,0
2018,2,16,6,1802,SANBA,2,9.8,115.7,1010,0,0,0,0,0,0,0,0
2018,3,24,18,1803,JELAWAT,2,5.8,143.0,1004,0,0,0,0,0,0,0,0
2018,3,25,0,1803,JELAWAT,2,6.2,141.7,1002,0,0,0,0,0,0,0,0
2018,3,25,6,1803,JELAWAT,3,6.6,140.3,1000,35,0,0,0,8,90,60,0
2018,3,25,12,1803,JELAWAT,3,7.0,139.2,1000,35,0,0,0,8,90,60,0
2018,3,25,18,1803,JELAWAT,3,7.3,138.4,1000,35,0,0,0,8,90,60,0
2018,3,26,0,1803,JELAWAT,3,7.6,137.6,1000,35,0,0,0,8,90,60,0
2018,3,26,6,1803,JELAWAT,3,8.0,136.7,1000,35,0,0,0,8,90,60,0
2018,3,26,12,1803,JELAWAT,3,8.7,135.8,1000,35,0,0,0,8,90,60,0
2018,3,26,18,1803,JELAWAT,3,9.4,135.3,1000,35,0,0,0,8,120,90,0
2018,3,27,0,1803,JELAWAT,3,10.3,135.0,1000,35,0,0,0,8,120,90,0
2018,3,27,6,1803,JELAWAT,3,11.0,134.9,1000,35,0,0,0,8,120,90,0
2018,3,27,12,1803,JELAWAT,3,11.6,134.8,1000,35,0,0,0,8,150,90,0
2018,3,27,18,1803,JELAWAT,3,12.3,134.8,998,40,0,0,0,8,150,90,0
2018,3,28,0,1803,JELAWAT,3,13.0,134.9,994,45,0,0,0,8,150,90,0
2018,3,28,6,1803,JELAWAT,4,13.7,135.0,990,50,0,0,0,8,180,90,0
2018,3,28,12,1803,JELAWAT,4,14.5,135.2,990,50,0,0,0,8,180,90,0
2018,3,28,18,1803,JELAWAT,4,15.3,135.3,985,55,8,60,40,8,180,90,0
2018,3,29,0,1803,JELAWAT,5,15.3,135.3,975,65,8,60,40,8,150,90,0
2018,3,29,6,1803,JELAWAT,5,15.3,135.6,965,70,9,50,50,8,150,90,0
2018,3,29,12,1803,JELAWAT,5,15.3,136.2,955,80,9,50,50,8,150,90,0
2018,3,29,18,1803,JELAWAT,5,15.5,136.8,945,85,9,50,50,8,150,90,0
2018,3,30,0,1803,JELAWAT,5,15.7,137.3,935,95,9,50,50,8,150,90,0
2018,3,30,6,1803,JELAWAT,5,16.2,138.1,915,105,9,50,50,8,150,90,0
2018,3,30,12,1803,JELAWAT,5,16.8,139.0,915,105,9,50,50,8,150,90,0
2018,3,30,18,1803,JELAWAT,5,17.6,139.8,925,100,9,50,50,1,150,90,0
2018,3,31,0,1803,JELAWAT,5,18.2,140.8,955,80,9,40,40,1,150,90,0
2018,3,31,6,1803,JELAWAT,5,18.6,141.7,965,70,9,40,40,1,180,90,0
2018,3,31,12,1803,JELAWAT,5,18.9,142.6,975,65,9,40,40,1,210,90,0
2018,3,31,18,1803,JELAWAT,3,19.1,143.5,992,35,0,0,0,1,210,90,0
2018,4,1,0,1803,JELAWAT,2,19.3,144.4,996,0,0,0,0,0,0,0,0
2018,4,1,6,1803,JELAWAT,2,19.1,145.6,996,0,0,0,0,0,0,0,0
2018,6,2,18,1804,EWINIAR,2,14.2,112.0,1004,0,0,0,0,0,0,0,0
2018,6,3,0,1804,EWINIAR,2,14.5,111.6,1002,0,0,0,0,0,0,0,0
2018,6,3,6,1804,EWINIAR,2,14.9,111.3,1002,0,0,0,0,0,0,0,0
2018,6,3,12,1804,EWINIAR,2,15.2,111.0,1002,0,0,0,0,0,0,0,0
2018,6,3,18,1804,EWINIAR,2,15.4,110.9,1002,0,0,0,0,0,0,0,0
2018,6,4,0,1804,EWINIAR,2,15.6,110.7,1002,0,0,0,0,0,0,0,0
2018,6,4,6,1804,EWINIAR,2,15.8,110.6,1002,0,0,0,0,0,0,0,0
2018,6,4,12,1804,EWINIAR,2,16.2,110.7,1002,0,0,0,0,0,0,0,0
2018,6,4,18,1804,EWINIAR,2,16.8,111.1,1000,0,0,0,0,0,0,0,0
2018,6,5,0,1804,EWINIAR,3,17.5,111.4,1000,35,0,0,0,9,60,60,0
2018,6,5,6,1804,EWINIAR,3,18.5,111.5,1000,35,0,0,0,9,60,60,0
2018,6,5,12,1804,EWINIAR,3,19.7,111.4,1000,35,0,0,0,9,60,60,0
2018,6,5,18,1804,EWINIAR,3,20.5,111.0,1000,35,0,0,0,9,60,60,0
2018,6,6,0,1804,EWINIAR,3,20.7,110.7,1000,35,0,0,0,9,60,60,0
2018,6,6,6,1804,EWINIAR,3,20.1,110.4,998,35,0,0,0,9,60,60,0
2018,6,6,12,1804,EWINIAR,3,20.2,111.0,998,35,0,0,0,9,60,60,0
